"Year","total_workers_num_male","total_workers_num_male_we","total_median_earn_male","total_workers_num_female","total_workers_num_female_we","total_median_earn_female","ft_workers_num_male","ft_workers_num_male_we","ft_median_earn_male","ft_workers_num_female","ft_workers_num_female_we","ft_median_earn_female","F.M_earn_ratio"
1978,"63101","62903",44302,"49214","48398",19166,"41078","41036",57436,"21131","20914",34140,0.594
1977,"61959","61704",43064,"47333","46194",18237,"39325","39263",57067,"19544","19238",33625,0.589
1976,"60703","60450",42728,"45659","44565",17820,"38214","38184",55811,"18372","18073",33595,0.602
1975,"59509","59268",42436,"43725","42926",17340,"37316","37267",55965,"17738","17452",32917,0.588
1974,"60102","59866",43299,"43694","42854",16914,"38479.5","37916",56316,"17642.5","16945",33088,0.588
1973,"59816","59438",45337,"42835","41583",17065,"39643","39581",58412,"17547","17195",33081,0.566
1972,"58194","57774",44340,"40723","39470",17656,"38234","38184",56608,"16976","16675",32754,0.579
1971,"57303","56886",42223,"39910","38485",17065,"36868","36819",53717,"16353","16002",31965,0.595
1970,"56265","55821",42666,"39682","38273",16286,"36193","36132",53487,"15805","15476",31755,0.594
1969,"55700","55273",43184,"39060","37737",16049,"37055","37008",51496,"15678","15374",31153,0.605
1968,"55095","54026",42122,"38279","35695",16425,"37099","37068",50112,"15336","15013",29143,0.582
1967,"54412","53222",40906,"36971","34391",15975,"36695","36645",48802,"15141","14846",28199,0.578
1966,"53016","N",41364,"35295","N",16565,"N","N",48042,"N","N",27651,0.576
1965,"N","N",38941,"N","N",16711,"N","N",46032,"N","N",27585,0.599
1964,"51978","N",38566,"33146","N",15658,"N","N",45385,"N","N",26845,0.591
1963,"51039","N",41027,"32188","N",15077,"N","N",44350,"N","N",26143,0.589
1962,"50639","N",36947,"31418","N",14752,"N","N",43263,"N","N",25654,0.593
1961,"49854","N",35812,"30433","N",14208,"N","N",42486,"N","N",25173,0.592
1960,"50033","N",34515,"30585","N",14028,"N","N",41173,"N","N",24981,0.607
